Date,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2014-04-01,0.29999994078349024,0.29999989393276727,0.29999989028159724,2.1482435733663526e-07,8.999026882324235e-08,1.084696484731236e-07,1.855730658911936e-07,0.09999922431995116,1.5823819357160028e-07,1.4489644548128722e-07,1.486902146679039e-07
2014-05-01,0.2999999949223143,0.10600868291132502,0.29999999246444525,2.596618039401339e-08,9.036635419594972e-09,0.07792813918587223,1.292620398596625e-07,4.707455305105679e-08,4.637209304306691e-09,8.065909480178585e-09,0.21606296647351583
2014-06-02,0.2999999900159197,0.032081620496319616,0.29999998020023066,0.009507471637137874,1.548259733617675e-08,0.05841084999175146,4.316096289524466e-08,3.407024782126135e-08,3.74467726273214e-09,5.861902997965912e-09,0.2999999853382524
2014-07-01,0.2999999791535324,0.26008456007053116,2.7181308265442735e-07,5.726613272123558e-08,2.630417424547811e-08,0.13991488034866598,1.0149613918297604e-07,1.1219529804541558e-07,2.0347021518069243e-08,2.524295017228329e-08,0.29999996576247207
2014-08-01,0.2999999773515176,1.1510805414435223e-07,2.5903265422796505e-07,0.09999853439826349,6.170382431673727e-08,0.29999991626978956,1.0236809395110152e-06,9.38239894850832e-08,2.685327536914537e-08,3.153163959144115e-08,0.29999996024605263
2014-09-02,0.2999999704816878,3.992332823591011e-08,3.958647363410043e-08,0.09999983475419998,4.155165810470422e-08,0.2999999706241741,2.5531839739301594e-08,4.442841461500527e-08,3.295847175507006e-08,1.856946210163726e-08,0.2999999815902899
2014-10-01,0.2999999562303252,3.469052469755297e-08,4.8943156534969704e-08,9.70139152570708e-08,3.9160959576008955e-06,0.29999997058402145,0.0999957439338168,1.8000934231391311e-07,8.520492966000944e-08,1.637700492234332e-08,0.2999999509170055
2014-11-03,0.2999998542939882,1.8524880742645643e-07,1.1689014767772839e-07,0.10000094898458116,1.3500791678046876e-07,0.29999848920369954,1.6172025114361172e-07,1.157132206637101e-07,4.5298153259182466e-08,3.382915113117719e-08,0.299999913810083
2014-12-01,0.29999951595552615,9.058276889118035e-07,5.410756113988955e-07,0.09999542447964424,1.7264333448128566e-06,0.2999994177940862,1.9123997227583115e-06,7.605794313646295e-07,2.411599399765055e-07,1.4632957952140351e-07,0.2999994079654247
2015-01-02,0.29999935290580115,2.3843764352091957e-06,4.3639623192279957e-07,7.179609284100874e-07,0.09999432421867852,0.2999994769972299,2.469301096266476e-06,9.246807999623833e-07,4.059826371597288e-07,1.2882347540185206e-07,0.29999937835668605
2015-02-02,0.2999998019725697,6.403292057566182e-07,9.325206546644824e-08,1.4646639783155881e-07,0.09999810153692325,0.2999999038478839,1.1305789665374402e-06,2.0321263464703198e-07,2.30584631515194e-07,2.7333888472851367e-08,0.299999720884833
2015-03-02,0.29999998105503517,0.09999985895338766,1.7445471687585642e-08,2.0585817207863637e-08,6.856518580433784e-08,0.29999997243731247,5.6478196137482375e-08,2.7429056677202972e-08,1.6878871266084555e-08,3.0667723162853318e-09,0.29999997710489357
2015-04-01,0.2999993312050345,0.09999557942986231,2.991514659106211e-07,2.888339333535963e-07,2.7488470046244053e-06,0.2999995761368433,1.998512360029247e-06,5.016949819133088e-07,1.6672073018327008e-07,6.120638017601296e-08,0.2999994482614037
